"","K","sd","r","metric","nonrankbased","rankbased_asymptotic","rankbased_level2bs","independent","bonferroni"
"1",10,2,0.1,"t1",3.43592,4.8592,3.453,3.44444,3.45052
"2",10,2,0.1,"t2",3.01082287839934,4.1882650173057,3.03525186419758,3.01776472659257,3.02268951559481
"3",10,2,0.1,"t3",0.556408,0.41408,0.5547,0.555556,0.554948
"4",10,2,0.1,"coverage",0.9464,0.9262,0.9522,0.9474,0.9484
"5",10,2,0.5,"t1",3.36324,5.35244,3.4596,3.43376,3.43964
"6",10,2,0.5,"t2",2.96410193728266,4.65163033433078,3.04332232848731,3.02017260044476,3.02484755405263
"7",10,2,0.5,"t3",0.563676,0.364756,0.55404,0.556624,0.556036
"8",10,2,0.5,"coverage",0.9496,0.9148,0.9438,0.9614,0.962
"9",10,2,0.9,"t1",3.09436,5.63816,3.35668,3.41648,3.42316
"10",10,2,0.9,"t2",2.75150639963544,4.96757835484073,2.96866987158167,3.02054551350709,3.02569337927538
"11",10,2,0.9,"t3",0.590564,0.336184,0.564332,0.558352,0.557684
"12",10,2,0.9,"coverage",0.9482,0.9128,0.9344,0.984,0.984
"13",10,3.6,0.1,"t1",2.4402,3.1374,2.5744,2.44556,2.45068
"14",10,3.6,0.1,"t2",2.14558927946868,2.75357911152646,2.25952110738792,2.14981265246882,2.15454286090822
"15",10,3.6,0.1,"t3",0.65598,0.58626,0.64256,0.655444,0.654932
"16",10,3.6,0.1,"coverage",0.9464,0.9344,0.9604,0.9474,0.9484
"17",10,3.6,0.5,"t1",2.40536,3.23612,2.55892,2.4598,2.46388
"18",10,3.6,0.5,"t2",2.11229826805737,2.83434108083927,2.238483955786,2.1604072498944,2.16418149014796
"19",10,3.6,0.5,"t3",0.659464,0.576388,0.644108,0.65402,0.653612
"20",10,3.6,0.5,"coverage",0.9496,0.9306,0.958,0.9614,0.962
"21",10,3.6,0.9,"t1",2.1648,3.22228,2.44676,2.50384,2.50832
"22",10,3.6,0.9,"t2",1.90278074696359,2.80951186242065,2.12632600223163,2.19626073209517,2.20029373963409
"23",10,3.6,0.9,"t3",0.68352,0.577772,0.655324,0.649616,0.649168
"24",10,3.6,0.9,"coverage",0.9482,0.912,0.9596,0.984,0.984
"25",10,6,0.1,"t1",1.80192,2.22816,1.84116,1.80256,1.80504
"26",10,6,0.1,"t2",1.61187901327959,1.97297134303918,1.63605344849789,1.61240699780454,1.61428769220432
"27",10,6,0.1,"t3",0.719808,0.677184,0.715884,0.719744,0.719496
"28",10,6,0.1,"coverage",0.9464,0.8686,0.9428,0.9474,0.9484
"29",10,6,0.5,"t1",1.77532,2.2354,1.80856,1.79952,1.80176
"30",10,6,0.5,"t2",1.59276631204501,1.98286629767316,1.61205669593845,1.61083690147934,1.61248868250008
"31",10,6,0.5,"t3",0.722468,0.67646,0.719144,0.720048,0.719824
"32",10,6,0.5,"coverage",0.9496,0.8624,0.9424,0.9614,0.962
"33",10,6,0.9,"t1",1.67664,2.19064,1.73624,1.7846,1.78716
"34",10,6,0.9,"t2",1.52118585930725,1.95339139018051,1.5593965959869,1.59939516332135,1.60130588677598
"35",10,6,0.9,"t3",0.732336,0.680936,0.726376,0.72154,0.721284
"36",10,6,0.9,"coverage",0.9482,0.8596,0.9344,0.984,0.984
